HOLD4-ATAC-CTRL	HO-036	1171
HOLD4-ATAC-CTRL	HO-158	1267
HOLD4-ATAC-CTRL	HO-064	1286
HOLD4-ATAC-CTRL	HO-066	1565
HOLD4-ATAC-CTRL	HO-162	1717
HOLD4-ATAC-LPS	HO-116	811
HOLD4-ATAC-LPS	HO-063	840
HOLD4-ATAC-LPS	HO-169	1098
HOLD4-ATAC-LPS	HO-125	1149
HOLD4-ATAC-LPS	HO-049	1154
HOLD4-ATAC-LPS	HO-017	1282
HOLD4-ATAC-LPS	HO-158	1337
HOLD4-ATAC-LPS	HO-010	1363
HOLD4-ATAC-LPS	HO-036	1406
HOLD4-ATAC-LPS	HO-064	1422
HOLD4-ATAC-LPS	HO-066	1798
HOLD4-ATAC-LPS	HO-162	2067
HOLD5-ATAC-CTRL	HO-122	854
HOLD5-ATAC-CTRL	HO-163	1137
HOLD5-ATAC-CTRL	HO-186	1166
HOLD5-ATAC-CTRL	HO-086	1241
HOLD5-ATAC-CTRL	HO-014	1293
HOLD5-ATAC-CTRL	HO-109	1461
HOLD5-ATAC-CTRL	HO-092	1635
HOLD5-ATAC-CTRL	HO-077	1702
HOLD5-ATAC-CTRL	HO-074	1848
HOLD5-ATAC-CTRL	HO-141	1887
HOLD5-ATAC-CTRL	HO-152	1893
HOLD5-ATAC-CTRL	HO-004	2067
HOLD5-ATAC-LPS	HO-122	893
HOLD5-ATAC-LPS	HO-163	1208
HOLD5-ATAC-LPS	HO-086	1278
HOLD5-ATAC-LPS	HO-186	1286
HOLD5-ATAC-LPS	HO-014	1376
HOLD5-ATAC-LPS	HO-109	1509
HOLD5-ATAC-LPS	HO-092	1664
HOLD5-ATAC-LPS	HO-074	1795
HOLD5-ATAC-LPS	HO-077	1834
HOLD5-ATAC-LPS	HO-152	1894
HOLD5-ATAC-LPS	HO-141	1946
HOLD5-ATAC-LPS	HO-004	2196
HOLD6-ATAC-CTRL	HO-045	1511
HOLD6-ATAC-CTRL	HO-055	1600
HOLD6-ATAC-CTRL	HO-042	1873
HOLD6-ATAC-CTRL	HO-037	1907
HOLD6-ATAC-CTRL	HO-179	1954
HOLD6-ATAC-CTRL	HO-081	1982
HOLD6-ATAC-CTRL	HO-062	2124
HOLD6-ATAC-CTRL	HO-105	2192
HOLD6-ATAC-CTRL	HO-191	2234
HOLD6-ATAC-CTRL	HO-099	2560
HOLD6-ATAC-CTRL	HO-019	2790
HOLD6-ATAC-CTRL	HO-115	3001
HOLD6-ATAC-LPS	HO-055	1821
HOLD6-ATAC-LPS	HO-045	1881
HOLD6-ATAC-LPS	HO-042	2141
HOLD6-ATAC-LPS	HO-179	2220
HOLD6-ATAC-LPS	HO-037	2243
HOLD6-ATAC-LPS	HO-081	2290
HOLD6-ATAC-LPS	HO-105	2344
HOLD6-ATAC-LPS	HO-191	2355
HOLD6-ATAC-LPS	HO-062	2442
HOLD6-ATAC-LPS	HO-099	2509
HOLD6-ATAC-LPS	HO-019	2813
HOLD6-ATAC-LPS	HO-115	3261
HOLD6-ATAC-LPS-DEX	HO-045	1505
HOLD6-ATAC-LPS-DEX	HO-055	1622
HOLD6-ATAC-LPS-DEX	HO-042	1642
HOLD6-ATAC-LPS-DEX	HO-179	1869
HOLD6-ATAC-LPS-DEX	HO-081	1998
HOLD6-ATAC-LPS-DEX	HO-037	1999
HOLD6-ATAC-LPS-DEX	HO-191	2002
HOLD6-ATAC-LPS-DEX	HO-062	2112
HOLD6-ATAC-LPS-DEX	HO-105	2254
HOLD6-ATAC-LPS-DEX	HO-099	2362
HOLD6-ATAC-LPS-DEX	HO-019	2626
HOLD6-ATAC-LPS-DEX	HO-115	2954
HOLD7-ATAC-LPS	HO-166	1504
HOLD7-ATAC-LPS	HO-007	1530
HOLD7-ATAC-LPS	HO-038	1544
HOLD7-ATAC-LPS	HO-026	1570
HOLD7-ATAC-LPS	HO-089	1619
HOLD7-ATAC-LPS	HO-048	1631
HOLD7-ATAC-LPS	HO-051	1777
HOLD7-ATAC-LPS	HO-096	1809
HOLD7-ATAC-LPS	HO-156	2009
HOLD7-ATAC-LPS	HO-124	2021
HOLD7-ATAC-LPS	HO-076	2124
HOLD7-ATAC-LPS	HO-008	2356
HOLD8-ATAC-CTRL	HO-167	785
HOLD8-ATAC-CTRL	HO-117	1353
HOLD8-ATAC-CTRL	HO-035	1402
HOLD8-ATAC-CTRL	HO-098	1468
HOLD8-ATAC-CTRL	HO-031	1491
HOLD8-ATAC-CTRL	HO-178	1546
HOLD8-ATAC-CTRL	HO-153	1617
HOLD8-ATAC-CTRL	HO-083	1671
HOLD8-ATAC-CTRL	HO-119	1696
HOLD8-ATAC-CTRL	HO-155	1735
HOLD8-ATAC-CTRL	HO-144	1780
